COMPETÊNCIA,UF,CÓDIGO_MUNICÍPIO,MUNICÍPIO,CNES,NOME_FANTASIA,TIPO_ESTABELECIMENTO,NATUREZA_JURÍDICA,GESTÃO,CONVÊNIO_SUS,TIPO_LEITO,CÓDIGO_LEITO,LEITO,LEITOS_EXISTENTES,LEITOS_SUS
2025/12,SP,355030,São Paulo,2077485,HOSPITAL DAS CLÍNICAS,HOSPITAL GERAL,Público,Estadual,Sim,Clínico,01,Adulto,150,120
2025/12,SP,355030,São Paulo,2082187,HOSPITAL SÃO PAULO,HOSPITAL GERAL,Público,Municipal,Sim,UTI,74,Adulto,45,40
2025/12,RJ,330455,Rio de Janeiro,2269783,HOSPITAL MUNICIPAL SOUZA AGUIAR,HOSPITAL GERAL,Público,Municipal,Sim,Clínico,01,Adulto,200,180
2025/12,MG,310620,Belo Horizonte,2784025,HOSPITAL DAS CLÍNICAS UFMG,HOSPITAL GERAL,Público,Estadual,Sim,UTI,74,Adulto,80,75
2025/12,RS,431490,Porto Alegre,2237601,HOSPITAL DE CLÍNICAS DE PORTO ALEGRE,HOSPITAL GERAL,Público,Federal,Sim,Clínico,01,Adulto,300,250
2025/12,BA,292740,Salvador,2802449,HOSPITAL GERAL ROBERTO SANTOS,HOSPITAL GERAL,Público,Estadual,Sim,Cirúrgico,02,Adulto,180,160
2025/12,PE,261160,Recife,0000647,HOSPITAL DAS CLÍNICAS UFPE,HOSPITAL GERAL,Público,Federal,Sim,UTI,74,Neonatal,30,28
2025/12,CE,230440,Fortaleza,2569019,HOSPITAL GERAL DE FORTALEZA,HOSPITAL GERAL,Público,Estadual,Sim,Clínico,01,Pediátrico,100,90
2025/12,PR,411370,Londrina,2597977,HOSPITAL UNIVERSITÁRIO DE LONDRINA,HOSPITAL GERAL,Público,Estadual,Sim,UTI,74,Adulto,60,55
2025/12,DF,530010,Brasília,2673991,HOSPITAL DE BASE DO DISTRITO FEDERAL,HOSPITAL GERAL,Público,Distrital,Sim,Clínico,01,Adulto,400,380
